property id,property code,is active,postal address,postal city,postal state,postal zip code,postal country,property name,acquire date,dispose date,inactive date,is commercial,is international,property last closed period,database id
1592,xgashaw3,True,,Marietta,GA,30060.0,US,899 Mountain Ind Dr,,,,True,False,6/1/25,1
1593,xgashaw4,True,,Powder Springs,GA,30127.0,US,"3275 Florence Rd, Bldg 300",,,,True,False,6/1/25,1
1594,xgashaw5,True,,Powder Springs,GA,30127.0,US,"3275 Florence Rd, Bldg 200",,,,True,False,6/1/25,1
1595,xgashaw6,True,,Powder Springs,GA,30127.0,US,"3275 Florence Rd, Bldg 100",,,,True,False,6/1/25,1
2986,xil1000a,True,,West Chicago,IL,60185.0,US,1000 Atlantic Drive,,,,True,False,6/1/25,1
3640,xil1000e,True,,Chicago,IL,60619.0,US,1000 E 87th St,,,,True,False,6/1/25,1
2985,xil1001a,True,,Elk Grove Village,IL,60007.0,US,1001 Arthur Avenue,,,,True,False,6/1/25,1
3738,xil1100h,True,,Elk Grove Village,IL,60007.0,US,1100-1150 Howard,,,,True,False,6/1/25,1
1665,xil1111,True,,Elgin,IL,60123.0,US,1111 Bowes Rd,,,,True,False,6/1/25,1
3377,xil11697,True,,Northlake,IL,60164.0,US,11697 W Grand,,,,True,False,6/1/25,1
3626,xil1200p,True,,Elk Grove Village,IL,60007.0,US,1200 Pratt Boulevard,,,,True,False,6/1/25,1
3301,xil121lo,True,,Addison,IL,60101.0,US,121 South Lombard Road,,,,True,False,6/1/25,1
3548,xil141be,True,,Bensenville,IL,60106.0,US,141-145 Bernice,,,,True,False,6/1/25,1
1663,xil1600,True,,Hanover Park,IL,60133.0,US,1600 Hunter Rd,,,,True,False,6/1/25,1
3367,xil1600b,True,,Des Plaines,IL,60018.0,US,1600 Birchwood Avenue,,,,True,False,6/1/25,1
1659,xil1601,False,,Elk Grove Village,IL,60007.0,US,1601 Lunt Ave,,,2/29/24,True,False,6/1/25,1
3368,xil1630b,True,,Des Plaines,IL,60018.0,US,1630 Birchwood Avenue,,,,True,False,6/1/25,1
1661,xil1688,True,,Glendale Heights,IL,60139.0,US,1688 Glen Ellyn Rd,,,,True,False,6/1/25,1
3739,xil1701b,True,,Des Plaines,IL,60018.0,US,1701 Birchwood,,,,True,False,6/1/25,1
1684,xil1951,False,,Elk Grove Village,IL,60007.0,US,1951 Touhy Ave,,,12/2/21,True,False,6/1/25,1
1664,xil1terr,True,,Bolingbrook,IL,60440.0,US,1 Territorial Court,,,,True,False,6/1/25,1
3547,xil201ja,True,,Bensenville,IL,60106.0,US,201 James Street,,,,True,False,6/1/25,1
1734,xil2101,True,,Elk Grove Village,IL,60007.0,US,2101 Arthur Avenue,,,,True,False,6/1/25,1
3669,xil222ja,True,,Bensenville,IL,60106.0,US,222 James Street,,,,True,False,6/1/25,1
3545,xil231ja,True,,Bensenville,IL,60106.0,US,231 James Street,,,,True,False,6/1/25,1
3546,xil240ja,False,,Bensenville,IL,60106.0,US,240-252 James Street,,,12/19/23,True,False,6/1/25,1
1891,xil2500w,True,,Chicago,IL,60612.0,US,2500 West Lake,,,,True,False,6/1/25,1
1789,xil250n,True,,Chicago,IL,60612.0,US,250 North Washtenaw Avenue,,,,True,False,6/1/25,1
3639,xil2710l,False,,Chicago,IL,60612.0,US,2710 W Lake St,,,11/13/23,True,False,6/1/25,1
1662,xil305e,True,,Carol Stream,IL,60188.0,US,305 E North Ave,,,,True,False,6/1/25,1
1900,xil464no,True,,Wheeling,IL,60090.0,US,464 Northgate Parkway,,,,True,False,6/1/25,1
1873,xil529t,True,,Bensenville,IL,60106.0,US,529 Thomas Drive,,,,True,False,6/1/25,1
1874,xil700h,True,,Glendale Heights,IL,60139.0,US,700 High Grove Boulevard,,,,True,False,6/1/25,1
1660,xil747,True,,Elk Grove Village,IL,60007.0,US,747-777 Chase Ave,,,,True,False,6/1/25,1
1899,xil770ar,True,,Elk Grove Village,IL,60007.0,US,770 Arthur Avenue,,,,True,False,6/1/25,1
3638,xil7760m,True,,Niles,IL,60714.0,US,7760 N Merrimac,,,,True,False,6/1/25,1
1901,xil77whe,True,,Wheeling,IL,60090.0,US,77 Wheeling Road,,,,True,False,6/1/25,1
1680,xil900b,True,,Mt. Prospect,IL,60056.0,US,900 East Business Center Drive,,,,True,False,6/1/25,1
1645,xilmitch,True,,Glandale Heights,IL,60139.0,US,561 Mitchell Ave,,,,True,False,6/1/25,1
1657,xilmount,True,,Franklin Park,IL,60103.0,US,3325 Mount Prospect Road,,,,True,False,6/1/25,1
1902,xky4175a,True,,Florence,KY,41042.0,US,4175 Aero ParkWay,,,,True,False,6/1/25,1
1683,xnj1010,True,,Voorhees Township,NJ,8043.0,US,1010 Old Egg Harbor,,,,True,False,6/1/25,1
1735,xnj108n,True,,Robbinsville,NJ,8691.0,US,108 North Gold Drive,,,,True,False,6/1/25,1
1788,xnj10tw,True,,Moorestown,NJ,8057.0,US,10 Twosome Drive,,,,True,False,6/1/25,1
