unit id,property id,unit name,unit type,excluded unit,floor id,floor code,floor level int,level,elevator,building id,building code,building name,database id
494,1372,4319,,1,,,0,,,,,,1
495,1372,4290,,0,,,0,,,,,,1
496,1372,4310,,0,,,0,,,,,,1
497,1372,4354,,0,,,0,,,,,,1
503,1383,A,,0,,,0,,,,,,1
504,1383,B,,0,,,0,,,,,,1
505,1383,C,,0,,,0,,,,,,1
506,1383,D,,0,,,0,,,,,,1
507,1383,MEZZ,,1,,,0,,,,,,1
508,1378,7903,,0,,,0,,,,,,1
509,1390,9615,,0,,,0,,,,,,1
524,1392,201,,0,,,0,,,,,,1
525,1391,196,,0,,,0,,,,,,1
526,1393,210,,0,,,0,,,,,,1
527,1394,224,,0,,,0,,,,,,1
528,1395,246,,0,,,0,,,,,,1
529,1396,252,,0,,,0,,,,,,1
530,1397,2980,,0,,,0,,,,,,1
531,1398,3000,,0,,,0,,,,,,1
532,1388,100,,0,,,0,,,,,,1
533,1388,200,,0,,,0,,,,,,1
534,1388,300,,0,,,0,,,,,,1
535,1388,400,,0,,,0,,,,,,1
536,1387,A,,0,,,0,,,,,,1
537,1387,B,,0,,,0,,,,,,1
538,1387,C,,0,,,0,,,,,,1
539,1387,E,,0,,,0,,,,,,1
540,1389,6000,,0,,,0,,,,,,1
541,1372,4318,,0,,,0,,,,,,1
555,1372,4319B,,1,,,0,,,,,,1
556,1379,6959,,0,,,0,,,,,,1
560,1379,6959STU,,1,,,0,,,,,,1
1446,1595,100,,0,,,0,,,,,,1
1447,1594,200,,0,,,0,,,,,,1
1448,1593,300,,0,,,0,,,,,,1
1449,1592,899,,0,,,0,,,,,,1
1450,1591,922,,0,,,0,,,,,,1
1451,1590,986,,0,,,0,,,,,,1
4304,1888,100,,0,,,0,,,,,,1
1538,1599,14,,0,,,0,,,,,,1
1539,1584,A,,0,,,0,,,,,,1
1544,1584,B,,0,,,0,,,,,,1
1545,1584,C,,0,,,0,,,,,,1
1546,1585,A,,0,,,0,,,,,,1
1547,1585,B,,0,,,0,,,,,,1
1548,1585,C,,0,,,0,,,,,,1
1549,1585,ANT-A,,0,,,0,,,,,,1
1551,1585,ANT-B,,0,,,0,,,,,,1
1580,1586,A,,0,,,0,,,,,,1
1581,1586,B,,0,,,0,,,,,,1
1582,1587,A,,0,,,0,,,,,,1
1583,1587,A1,,0,,,0,,,,,,1
1584,1587,B,,0,,,0,,,,,,1
3277,1733,5070-W,,0,,,0,,,,,,1
3278,1735,108,,0,,,0,,,,,,1
3328,1754,100,,0,,,0,,,114.0,bldg 100,2009 Dorsey Road,1
3332,1754,500,,0,,,0,,,118.0,bldg 500,2009 Dorsey Road,1
3334,1754,600,,0,,,0,,,120.0,bldg 600,2009 Dorsey Road,1
3335,1754,750,,0,,,0,,,121.0,bldg 700,2009 Dorsey Road,1
3336,1754,710,,0,,,0,,,121.0,bldg 700,2009 Dorsey Road,1
2248,1387,D,,0,,,0,,,,,,1
2249,1389,A,,1,,,0,,,,,,1
3502,1734,B-C,,0,,,0,,,,,,1
3503,1734,200,,0,,,0,,,,,,1
2930,1639,9820,,0,,,0,,,,,,1
2952,1640,4200,,0,,,0,,,,,,1
2953,1641,4220,,0,,,0,,,,,,1
2954,1642,4255,,0,,,0,,,,,,1
2955,1643,4260,,0,,,0,,,,,,1
2956,1645,561,,0,,,0,,,,,,1
2957,1656,8800,,0,,,0,,,,,,1
2958,1654,10021,,0,,,0,,,,,,1
2961,1657,1,,0,,,0,,,,,,1
2962,1665,100,,0,,,0,,,,,,1
2963,1664,A,,0,,,0,,,,,,1
2964,1664,B,,0,,,0,,,,,,1
2965,1664,C,,0,,,0,,,,,,1
2966,1658,101,,0,,,0,,,,,,1
2967,1658,229,,0,,,0,,,,,,1
2968,1658,103,,0,,,0,,,,,,1
2969,1663,100,,0,,,0,,,,,,1
2970,1662,305,,0,,,0,,,,,,1
2971,1662,307,,0,,,0,,,,,,1
2972,1661,1688,,0,,,0,,,,,,1
2973,1660,747,,0,,,0,,,,,,1
2974,1659,1601A,,0,,,0,,,,,,1
2735,1598,3113,,0,,,0,,,,,,1
3505,1788,10,,0,,,0,,,,,,1
3506,1787,A,,0,,,0,,,,,,1
3507,1787,B,,0,,,0,,,,,,1
3508,1756,1211,,0,,,0,,,,,,1
3509,1757,327,,0,,,0,,,,,,1
3510,1786,382,,0,,,0,,,,,,1
3511,1755,8655,,0,,,0,,,,,,1
3686,1785,14A,,0,,,0,,,,,,1
3687,1785,14B,,0,,,0,,,,,,1
5842,2992,2610,,0,,,0,,,,,,1
5843,2992,2616,,0,,,0,,,,,,1
3840,1789,250,,0,,,0,,,,,,1
3849,1873,529,,0,,,0,,,,,,1
3850,1878,01,Industrial,0,,,0,,,,,,1
3851,1878,02,Industrial,0,,,0,,,,,,1
3852,1881,30,Industrial,0,,,0,,,,,,1
3853,1879,01,Industrial,0,,,0,,,,,,1
3854,1879,02,Industrial,0,,,0,,,,,,1
3855,1879,03,Industrial,1,,,0,,,,,,1
3856,1879,04,Industrial,1,,,0,,,,,,1
3857,1880,01,Industrial,0,,,0,,,,,,1
3858,1880,02,Industrial,1,,,0,,,,,,1
3859,1880,MEZ,Other,1,,,0,,,,,,1
3860,1882,01,Industrial,0,,,0,,,,,,1
3861,1882,02,Industrial,0,,,0,,,,,,1
3862,1882,04,Industrial,0,,,0,,,,,,1
3863,1876,01,Industrial,0,,,0,,,,,,1
3864,1876,02,Industrial,0,,,0,,,,,,1
3865,1876,03,Industrial,0,,,0,,,,,,1
3866,1876,04,Industrial,0,,,0,,,,,,1
3867,1876,05,Industrial,0,,,0,,,,,,1
3868,1876,4.1,Industrial,0,,,0,,,,,,1
3869,1876,5.1,Industrial,1,,,0,,,,,,1
3870,1876,ROOF,Industrial,0,,,0,,,,,,1
3873,1877,01,Industrial,0,,,0,,,,,,1
3874,1877,02,Industrial,0,,,0,,,,,,1
3875,1877,03,Industrial,0,,,0,,,,,,1
3876,1884,01,Industrial,0,,,0,,,,,,1
3877,1883,01,Industrial,0,,,0,,,,,,1
3878,1883,02,Industrial,1,,,0,,,,,,1
3879,1883,03,Industrial,1,,,0,,,,,,1
2975,1659,1601B,,0,,,0,,,,,,1
2976,1652,100,,0,,,0,,,,,,1
2977,1652,106,,0,,,0,,,,,,1
2978,1670,130,,0,,,0,,,,,,1
2979,1666,100,,0,,,0,,,,,,1
2980,1653,7,,0,,,0,,,130.0,bldg 7,4728 Goldfield Drive,1
2981,1653,8,,0,,,0,,,131.0,bldg 8,4728 Goldfield Drive,1
2982,1653,4,,0,,,0,,,127.0,bldg 4,4728 Goldfield Drive,1
2983,1653,3,,0,,,0,,,126.0,bldg 3,4728 Goldfield Drive,1
2984,1653,1,,0,,,0,,,124.0,bldg 1,4728 Goldfield Drive,1
2985,1667,A,,0,,,0,,,,,,1
2986,1667,B,,0,,,0,,,,,,1
2987,1668,7550,,0,,,0,,,,,,1
2988,1655,7055-1,,0,,,0,,,22.0,building 1,,1
2989,1655,7055-2,,0,,,0,,,23.0,building 2,,1
2991,1680,A,,0,,,0,,,,,,1
2992,1680,B,,0,,,0,,,,,,1
2993,1679,9330,,0,,,0,,,,,,1
2994,1678,52,,0,,,0,,,,,,1
2995,1677,313,,0,,,0,,,,,,1
2996,1673,900,,0,,,0,,,,,,1
2997,1674,6965,,0,,,0,,,,,,1
2998,1682,845,,0,,,0,,,,,,1
2999,1675,A-1,,0,,,0,,,,,,1
3000,1675,A-7,,0,,,0,,,,,,1
3001,1675,A-4,,0,,,0,,,,,,1
3002,1675,A-5,,0,,,0,,,,,,1
3003,1675,A-6,,0,,,0,,,,,,1
3004,1675,A-2,,0,,,0,,,,,,1
3005,1676,A2-BF,,0,,,0,,,,,,1
3006,1676,C-J,,0,,,0,,,,,,1
3007,1676,A,,0,,,0,,,,,,1
3008,1675,BB,,0,,,0,,,,,,1
3009,1675,C-E,,0,,,0,,,,,,1
3010,1675,F,,0,,,0,,,,,,1
3011,1675,BF,,0,,,0,,,,,,1
3012,1675,G-H,,0,,,0,,,,,,1
3013,1676,B,,0,,,0,,,,,,1
3014,1681,104,,0,,,0,,,,,,1
3015,1681,107,,0,,,0,,,,,,1
3016,1681,108-109,,0,,,0,,,,,,1
3017,1681,110-111,,0,,,0,,,,,,1
3018,1681,112,,0,,,0,,,,,,1
3019,1681,114-116,,0,,,0,,,,,,1
3026,1689,265,,0,,,0,,,,,,1
3068,1696,4601,,0,,,0,,,,,,1
3109,1695,390,,0,,,0,,,,,,1
3110,1683,1010,,0,,,0,,,,,,1
3165,1681,101,,0,,,0,,,,,,1
3166,1676,A-1,,0,,,0,,,,,,1
3167,1732,1157,,0,,,0,,,,,,1
12809,3640,100,,0,,,0,,,,,,1
12810,3641,A,Industrial,0,,,0,,,,,,1
12811,3641,B,Industrial,0,,,0,,,,,,1
12812,3641,B1,Industrial,0,,,0,,,,,,1
12813,3641,C,Industrial,1,,,0,,,,,,1
12814,3641,C1,Industrial,1,,,0,,,,,,1
12815,3641,D,Industrial,1,,,0,,,,,,1
12816,3641,OUTDOOR,Other,1,,,0,,,,,,1
12819,3642,CENTER,Industrial,0,,,0,,,,,,1
12820,3642,NE,Industrial,0,,,0,,,,,,1
12821,3642,NWCNR,Industrial,0,,,0,,,,,,1
12822,3642,SCNR,Industrial,0,,,0,,,,,,1
12823,3642,SECNR,Industrial,0,,,0,,,,,,1
12829,3667,6900,,0,,,0,,,,,,1
12830,3668,3651,,0,,,0,,,,,,1
12833,3669,222,Industrial,0,,,0,,,,,,1
12834,3669,224,Industrial,0,,,0,,,,,,1
4020,1885,01,Industrial,0,,,0,,,,,,1
4022,1894,2100,,0,,,0,,,,,,1
4023,1892,4680,,0,,,0,,,,,,1
4024,1893,5121,,0,,,0,,,,,,1
4025,1897,800-A,,0,,,0,,,592.0,800,,1
4026,1897,850-B,,0,,,0,,,593.0,850,,1
4027,1891,2500,,0,,,0,,,,,,1
4028,1886,G-H,,0,,,0,,,,,,1
4029,1886,I,,0,,,0,,,,,,1
4030,1886,WARHSE,,0,,,0,,,,,,1
4031,1887,740,,0,,,0,,,,,,1
4032,1898,14,,0,,,0,,,,,,1
4034,1904,1641,,0,,,0,,,38.0,1641,,1
4035,1904,1601-DE,,0,,,0,,,37.0,1601,,1
4036,1904,1601-A-C,,0,,,0,,,37.0,1601,,1
4037,1902,4175,,0,,,0,,,,,,1
4038,1790,4641,,0,,,0,,,,,,1
4039,1791,4690,,0,,,0,,,,,,1
4040,2721,A,,0,,,0,,,,,,1
4041,2721,B,,0,,,0,,,,,,1
4042,1899,770,,0,,,0,,,,,,1
4043,1899,780,,0,,,0,,,,,,1
4158,1895,3670,,0,,,0,,,,,,1
4166,1895,3662,,0,,,0,,,,,,1
4423,1900,464,,0,,,0,,,,,,1
4426,1901,77,,0,,,0,,,,,,1
4427,1896,104,,0,,,0,,,,,,1
4428,1896,112,,0,,,0,,,,,,1
4429,1896,120,,0,,,0,,,,,,1
4489,2720,100,,0,,,0,,,,,,1
4490,2720,200,,0,,,0,,,,,,1
4491,2722,3900,,0,,,0,,,,,,1
4572,2724,3000,,0,,,0,,,,,,1
4573,2724,3004,,0,,,0,,,,,,1
4574,2725,3045,,0,,,0,,,,,,1
4575,2725,3055,,0,,,0,,,,,,1
4576,2725,3065,,0,,,0,,,,,,1
4577,2726,3040,,0,,,0,,,,,,1
4578,2726,3050,,0,,,0,,,,,,1
4579,2727,1149,,1,,,0,,,,,,1
4580,2727,1157,,1,,,0,,,,,,1
12854,3670,A,,0,,,0,,,,,,1
12858,3671,154,,0,,,0,,,,,,1
14387,3728,1803,Industrial,0,,,0,,,,,,1
4581,2727,1161,,0,,,0,,,,,,1
4683,2723,11660,,0,,,0,,,,,,1
4964,2958,200,,0,,,0,,,,,,1
4965,1675,A3,,0,,,0,,,,,,1
4966,1733,5070-O,,1,,,0,,,,,,1
4967,2990,4600-A,,0,,,0,,,112.0,4600,4600 Frederick Drive,1
4968,2990,4600-E,,0,,,0,,,112.0,4600,4600 Frederick Drive,1
4969,2990,4600-F,,0,,,0,,,112.0,4600,4600 Frederick Drive,1
4970,2990,4630-A,,0,,,0,,,113.0,4630,4630 Frederick Drive,1
4971,2990,4630-B,,0,,,0,,,113.0,4630,4630 Frederick Drive,1
4972,2990,4630-C,,0,,,0,,,113.0,4630,4630 Frederick Drive,1
4973,2990,4630-D,,0,,,0,,,113.0,4630,4630 Frederick Drive,1
4974,2986,1000,,0,,,0,,,,,,1
4975,2985,1001,,0,,,0,,,,,,1
5061,2993,4646,,0,,,0,,,,,,1
5085,2952,4319A,,0,,,0,,,,,,1
5086,2952,4319B,,0,,,0,,,,,,1
6529,3308,A,,0,,,0,,,,,,1
6530,3308,C,,0,,,0,,,,,,1
6531,3308,B,,0,,,0,,,,,,1
6723,3304,4200,,0,,,0,,,,,,1
6724,3306,500,,0,,,0,,,,,,1
15010,3739,100,,0,,,0,,,,,,1
15011,3738,1130,,0,,,0,,,,,,1
15012,3738,1100,,0,,,0,,,,,,1
