Property Code,Unit Code,Last Updated,Office%,WH Lights,Office Lights,Elect. Panel,Sensors,Lights replaced by FP?,In unit meter,Submeter,Elec. Power VOLTS,Elec. Power AMPS,Elec. Connection,WH Heating,WH Conditioned ,WH Tonnage,Office Conditioned,Office Tonnage,HVAC Panel,Hazard usage,Hazard Materials ,Hazard Notes,# Drive ins ,# Dock Doord
"xga3350h",200     ,"2024-10-03 00:00:00",5,"LED","LED","No","No","Yes","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",4,"No","No",,,,
"xga3350h",300     ,"2024-10-03 00:00:00",5,"LED","LED","No","No","Yes","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",4,"No","No",,,,
"xfl7720p","A       ","2024-10-07 00:00:00",31,"LED","LED","Yes","No","No","Yes","No","277/480",600,"3 Phase","None","Yes",14,"Yes",42.5,"Yes","No",,,,
"xfl7720p","B-C     ","2024-10-07 00:00:00",1.5,"","","No","No","No","No","Yes","277/480",600,"3 Phase","None","Yes",8,"Yes",1.5,"No","No",,,,
"xil121lo",121     ,"2024-10-07 00:00:00",10,"LED","LED","No","No","Yes","Yes","No","120/208",400,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xnj121mo",121     ,"2024-03-08 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","N/A",0,"Yes",0,"N/A","N/A","","",,
"xtx10704",10704   ,"2024-10-07 00:00:00",22.32,"LED","Fluorescent","Yes","No","Yes","Yes","No","120/208",200,"3 Phase","Packaged Units","No",0,"Yes",25,"Yes","No",,,,
"xfl420sw","A       ","2024-10-07 00:00:00",40,"High-Intensity Discharge","Fluorescent","Yes","No","No","Yes","No","240/120",400,"3 Phase","None","No",0,"Yes",9,"No","No",,,,
"xfl420sw","B       ","2024-10-07 00:00:00",10,"High-Intensity Discharge","Fluorescent","Yes","No","No","Yes","No","240/120",400,"3 Phase","None","Yes",3,"Yes",3,"No","No",,,,
"xfl420sw","C       ","2024-10-07 00:00:00",10,"LED","LED","No","No","Yes","Yes","No","240/120",400,"3 Phase","None","Yes",,"Yes",3,"No","No",,,,
"xga401wi",401     ,"2024-10-03 00:00:00",13.7,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/208",800,"3 Phase","Gas Heaters","No",,"Yes",13,"No","No",,,,
"xtn3961o",3961    ,"2024-10-07 00:00:00",8,"High-Intensity Discharge","Fluorescent","Yes","No","No","Yes","No","277/480",800,"3 Phase","Gas Heaters","Yes",26,"Yes",25.5,"Programmable","No",,,,
"xil1600b",1600    ,"2024-10-07 00:00:00",15,"LED","LED","No","No","No","Yes","No","277/480",1000,"3 Phase","Gas Heaters","No",0,"Yes",,"No","No",,,,
"xil1630b",1630    ,"2024-10-07 00:00:00",8,"LED","LED","No","No","No","Yes","No","120/240",800,"3 Phase","Gas Heaters","No",0,"Yes",,"No","No",,,,
"xga9335i",100     ,"2024-10-03 00:00:00",19.7,"Fluorescent","Fluorescent","No","No","No","Yes","No","277/480",600,"3 Phase","Gas Heaters","No",,"Yes",10,"No","No",,,,
"xil11697",11697   ,"2024-04-17 00:00:00",13,"High-Intensity Discharge","Fluorescent","No","No","No","Yes","N/A","277/480",800,"3 Phase","Gas Heaters","No",0,"Yes",16.5,"No","No","","",0,0
"xil231ja",1071    ,"2024-10-03 00:00:00",,"","","No","No","No","Yes","No","120/240",200,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil231ja",231     ,"2024-10-03 00:00:00",,"","","No","No","No","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil231ja",233     ,"2024-10-03 00:00:00",,"","","No","No","No","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil231ja",235     ,"2024-10-03 00:00:00",,"LED","LED","No","No","Yes","Yes","No","120/240",400,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil231ja",237     ,"2024-10-03 00:00:00",,"LED","LED","No","No","No","Yes","No","120/240",200,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil231ja",239     ,"2024-10-03 00:00:00",,"LED","Fluorescent/LED","No","No","No","Yes","No","120/240",200,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil231ja",241     ,"2024-10-03 00:00:00",,"LED","Fluorescent","No","No","No","Yes","No","",,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil201ja",1050    ,"2024-10-03 00:00:00",20,"LED","LED","No","No","Yes","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil201ja",1060    ,"2024-10-03 00:00:00",18,"","","No","No","No","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
"xil201ja",1070    ,"2024-10-03 00:00:00",24,"","","No","No","No","Yes","No",,,"3 Phase","Gas Heaters","No",,"Yes",,"No","No",,,,
