hMy_Propert,Propery Code,hMyPerson_Vendor,Appraiser Vendor ID,Appraiser Name,Valuation Date,Valuation Type Code,Valuation Type,Property Valuation
3304,"xpa4200m",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5500000
3306,"xpa500ma",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",19500000
3306,"xpa500ma",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",20500000
3306,"xpa500ma",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",19000000
3307,"xtx10704",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",3940000
3307,"xtx10704",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",3900000
3308,"xfl420sw",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",5300000
3308,"xfl420sw",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5200000
3308,"xfl420sw",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5280000
3351,"xnj121hi",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",8300000
3356,"xga401wi",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",11100000
3356,"xga401wi",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",10700000
3356,"xga401wi",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",7980000
3364,"xtn3961o",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",5090000
3364,"xtn3961o",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",5200000
3367,"xil1600b",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",6500000
3367,"xil1600b",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",6700000
3368,"xil1630b",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-09-30 00:00:00",0,"External",4300000
3368,"xil1630b",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2023-09-30 00:00:00",0,"External",4100000
3374,"xnj6925s",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-03-31 00:00:00",0,"External",3000000
3374,"xnj6925s",36968,"FV0012      ","JLL Valuation & Advisory Services, LLC (FRG-X)","2024-03-31 00:00:00",0,"External",3500000
