hMy_Propert,Propery Code,hMyPerson_Vendor,Appraiser Vendor ID,Appraiser Name,Valuation Date,Valuation Type Code,Valuation Type,Property Valuation
1397,"xgahire7",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",2800000
1398,"xgahire8",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",2000000
1398,"xgahire8",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",1844998
1584,"xnjmway3",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",5060552
1584,"xnjmway3",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",5100000
1585,"xnjmway5",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",5100000
1585,"xnjmway5",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",3713106
1586,"xnjmway7",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",4144412
1586,"xnjmway7",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",4900000
1587,"xnjmway9",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",5000000
1587,"xnjmway9",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",4331931
1590,"xgashaw1",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",1500000
1590,"xgashaw1",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",1700000
1590,"xgashaw1",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",1700000
1591,"xgashaw2",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2023-06-30 00:00:00",0,"External",1200000
1591,"xgashaw2",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",1200000
1591,"xgashaw2",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",1310686
1592,"xgashaw3",26192,"v0001314    ","Colliers International Valuation & Advisory Services","2021-12-31 00:00:00",0,"External",2939314
1592,"xgashaw3",25506,"v0001305    ","JLL Valuation & Advisory Services, LL","2022-12-31 00:00:00",0,"External",3000000
