Property Code,Property Address,City,Property State,ZIP,Is Land?,Fund,Legal Entity,ACQ Status,Acq. Date,Dispo. Date
"gahig021","449 Highway 74 South GA "," Peachtree City","GA","30269 ",,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-06-08 00:00:00","06/22/2022 00:00:00"
"gajon020","3075 Jonquil Drive","Smyrna","GA",30080,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-06-01 00:00:00","06/22/2022 00:00:00"
"gamac024","5010 MacDougall Drive","Atlanta","GA",30336,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-09-04 00:00:00","06/22/2022 00:00:00"
"gamon027","1800 Montreal Circle","Tucker","GA",30084,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-10-13 00:00:00","06/22/2022 00:00:00"
"gamoo022","3150 Moon Station Road NW","Kennesaw","GA",30144,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-06-30 00:00:00","06/22/2022 00:00:00"
"gamou028","850 Mountain Industrial Drive","Marietta","GA",30060,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-10-13 00:00:00","06/22/2022 00:00:00"
"gaold008","1721 Old Covington Rd NE","Conyers","GA",30013,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-03-20 00:00:00","06/22/2022 00:00:00"
"gaold035"," 4350 Old McDonough Road "," Conley","GA",30288,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2021-03-31 00:00:00","06/22/2022 00:00:00"
"gapar018"," 1447 Parker Road  ","Conyers","GA",30094,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-04-16 00:00:00","06/22/2022 00:00:00"
"garon030","2210 Ronald Reagan Boulevard","Cumming","GA",30041,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2020-12-30 00:00:00","06/22/2022 00:00:00"
"gasc1002","5101 Chatooga Dr","Stonecrest","GA",30038,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-02-15 00:00:00","06/22/2022 00:00:00"
"gasc1014","1 Leggett Dr","Social Circle","GA",30025,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2019-07-23 00:00:00","03/21/2023 00:00:00"
"gasc2003","5079 Chatooga Dr","Stonecrest","GA",30038,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-02-15 00:00:00","06/22/2022 00:00:00"
"gasc2015","754 East Hightower Trail","Social Circle","GA",30025,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2019-07-23 00:00:00","03/21/2023 00:00:00"
"gasc3004","2958 Miller Rd","Stonecrest","GA",30038,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-02-15 00:00:00","08/13/2021 00:00:00"
"gasc3016","772 East Hightower Trail","Social Circle","GA",30025,,"FRG IX                                                                          ","FP-Gimel GA LP                                                                  ","Sold                                                                            ","2019-07-23 00:00:00","03/21/2023 00:00:00"
"gasc4005","5036 Minola  Dr","Stonecrest","GA",30038,,"FRG IX                                                                          ","FPIP-ATLLP                                                                      ","Sold                                                                            ","2019-02-15 00:00:00","08/01/2022 00:00:00"
