Property HMY,Prop Code,PropName,Market,Unit HMY,UnitCode,TenantName,UnitArea,UnitMlaId,ProfileMlaId,ProfileName,ChargeCode,AmtType,AmtPeriod,UnitMlaRentNew,UnitMlaRentRenew,ProfileMlaRentNew,ProfileMlaRentRenew,NewVariance,RenewVariance,AreaDate,TenantCode,TenantHMY,rn
1592,xgashaw3,899 Mountain Ind Dr,Atlanta,1449,899,Shaw Stainless LLC,26880,762,20,ATL_upto100,rent    ,per Area,Annual,8.12,8.12,6,6,2.12,2.12,6/26/2025 0:00,t0000470,2249,1
1587,xnjmway9,9 Mary Way,Philadelphia,1582,A       ,"Tenacity Fitness, LLC ",7500,1033,30,PHI_upto100,rent    ,per Area,Annual,9.25,9.25,8,8,1.25,1.25,6/26/2025 0:00,t0000485,2307,1
1587,xnjmway9,9 Mary Way,Philadelphia,1583,A1      ,Cryovation LLC,12303,1034,30,PHI_upto100,rent    ,per Area,Annual,9.75,9.75,8,8,1.75,1.75,6/26/2025 0:00,t0000491,2317,1
1587,xnjmway9,9 Mary Way,Philadelphia,1584,B       ,Cryovation LLC,21902,1035,30,PHI_upto100,rent    ,per Area,Annual,9.75,9.75,8,8,1.75,1.75,6/26/2025 0:00,t0000491,2317,1
3630,3pa00001,9 S. Forrest Avenue,Philadelphia,12601,100,Vacant,29620,2419,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,10,10,8,8,2,2,6/26/2025 0:00,,,1
3630,3pa00001,9 S. Forrest Avenue,Philadelphia,12606,200,911 Safety Equipment LLC,13939,2420,30,PHI_upto100,rent    ,per Area,Annual,10,10,8,8,2,2,6/26/2025 0:00,t0000848,14883,1
3630,3pa00001,9 S. Forrest Avenue,Philadelphia,12084,300,Vacant,6380,2418,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,10,10,8,8,2,2,6/26/2025 0:00,,,1
1673,xnj900k ,900 Kennedy Boulevard,Philadelphia,2996,900,Vacant,41500,1046,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,10.25,10.25,8,8,2.25,2.25,6/26/2025 0:00,,,1
5731,3nj00018,91 McKee Drive,Northern NJ/New York,32767,4,"DASHLINK, INC.",35800,2938,41,NNJ_upto100,rent    ,per Area,Annual,16,16,13.91,13.91,2.09,2.09,6/26/2025 0:00,t0001103,38145,1
5731,3nj00018,91 McKee Drive,Northern NJ/New York,33698,B       ,Alison's Trading Corp.,18858,2943,41,NNJ_upto100,rent    ,per Area,Annual,16,16,13.91,13.91,2.09,2.09,6/26/2025 0:00,t0001114,39181,1
5731,3nj00018,91 McKee Drive,Northern NJ/New York,33702,C       ,Alison's Trading Corp.,20942,2944,41,NNJ_upto100,rent    ,per Area,Annual,16,16,13.91,13.91,2.09,2.09,6/26/2025 0:00,t0001114,39181,1
5731,3nj00018,91 McKee Drive,Northern NJ/New York,33918,CABLE   ,Cablevision Lightpath LLC,0,2947,41,NNJ_upto100,rent    ,per Area,Annual,0,0,13.91,13.91,-13.91,-13.91,6/26/2025 0:00,t0001118,39453,1
5731,3nj00018,91 McKee Drive,Northern NJ/New York,33733,D       ,"Z&Z Supply Merger Sub, LLC ",23256,2945,41,NNJ_upto100,rent    ,per Area,Annual,16,16,13.91,13.91,2.09,2.09,6/26/2025 0:00,t0001115,39230,1
5731,3nj00018,91 McKee Drive,Northern NJ/New York,33917,E       ,DJ Gym Mahwah LLC,23040,2946,41,NNJ_upto100,rent    ,per Area,Annual,11.4,11.4,13.91,13.91,-2.51,-2.51,6/26/2025 0:00,t0001117,39421,1
5731,3nj00018,91 McKee Drive,Northern NJ/New York,33920,F       ,"VBT Sub 2, LLC",0,2948,41,NNJ_upto100,rent    ,per Area,Annual,0,0,13.91,13.91,-13.91,-13.91,6/26/2025 0:00,t0001119,39455,1
