Property HMY,Prop Code,PropName,Market,Unit HMY,UnitCode,TenantName,UnitArea,UnitMlaId,ProfileMlaId,ProfileName,ChargeCode,AmtType,AmtPeriod,UnitMlaRentNew,UnitMlaRentRenew,ProfileMlaRentNew,ProfileMlaRentRenew,NewVariance,RenewVariance,AreaDate,TenantCode,TenantHMY,rn
3796,3ga00003,1100 Shallowford Rd,Atlanta,15172,1100,"Pacesetter Steel Service, Inc.",101334,1990,38,ATL_100plus,rent    ,per Area,Annual,9,9,6,6,3,3,6/26/2025 0:00,t0000924,17996,1
3738,xil1100h,1100-1150 Howard,Chicago,15012,1100,"IGT Service, LLC",7500,1922,77,Chi_2nd Iteration_upto100,rent    ,per Area,Annual,8,8,6.5,6.5,1.5,1.5,6/26/2025 0:00,t0000922,17844,1
3738,xil1100h,1100-1150 Howard,Chicago,15011,1130,"Genband Industries, LLC",8613,1921,29,CHI_upto100,rent    ,per Area,Annual,8,8,6.5,6.5,1.5,1.5,6/26/2025 0:00,t0001359,60269,1
3738,xil1100h,1100-1150 Howard,Chicago,15014,1150,Bunting Magnetics Company,7500,1923,29,CHI_upto100,rent    ,per Area,Annual,8,8,6.5,6.5,1.5,1.5,6/26/2025 0:00,t0000925,18048,1
5087,3tx00011,1101 Venture Ct.,Dallas,28003,1101,March Products Inc.,22876,2913,22,Dallas_upto100,rent    ,per Area,Annual,9.95,9.95,7.5,7.5,2.45,2.45,6/26/2025 0:00,t0001462,73379,1
5087,3tx00011,1101 Venture Ct.,Dallas,28002,120,"EGL Motors, Inc.",23272,2912,22,Dallas_upto100,rent    ,per Area,Annual,10.7,10.7,7.5,7.5,3.2,3.2,6/26/2025 0:00,t0001196,51811,1
6586,3fl00013,11070 Cabot Commerce Circle,Jacksonville,46980,1,"Air-Van, Inc.",110137,4601,84,Jax_100plus,rent    ,per Area,Annual,8.5,8.5,7,7,1.5,1.5,6/26/2025 0:00,t0001314,54518,1
6586,3fl00013,11070 Cabot Commerce Circle,Jacksonville,46982,2,"Air-Van, Inc.",22028,4602,84,Jax_100plus,rent    ,per Area,Annual,10.5,10.5,7,7,3.5,3.5,6/26/2025 0:00,t0001314,54518,1
6588,3fl00014,11084 Cabot Commerce Circle,Jacksonville,46975,100-300 ,"AJC Logistics, LLC",52500,4608,35,Jax_upto100,rent    ,per Area,Annual,9,9,7,7,2,2,6/26/2025 0:00,t0001312,54516,1
6588,3fl00014,11084 Cabot Commerce Circle,Jacksonville,46792,200,Amazon.com Services LLC,63165,4606,35,Jax_upto100,rent    ,per Area,Annual,9,9,7,7,2,2,6/26/2025 0:00,t0001290,54309,1
3201,xtx111pl,11100 Plano Road,Dallas,5743,11100,"Guardian Building Products, Inc.",136882,2362,44,Dal_100plus,rent    ,per Area,Annual,5.75,5.75,6.5,6.5,-0.75,-0.75,6/26/2025 0:00,t0000706,7538,1
1665,xil1111 ,1111 Bowes Rd,Chicago,2962,100,"Proven Partners Manufacturing, LLC",144578,891,46,CHI_100plus,rent    ,per Area,Annual,6.5,6.5,6.5,6.5,0,0,6/26/2025 0:00,t0000510,4175,1
4172,3tx00005,1111 Northpoint Drive,Dallas,20349,1111,"Associated Pathologists, LLC	",126596,2363,44,Dal_100plus,rent    ,per Area,Annual,6.5,6.5,6.5,6.5,0,0,6/26/2025 0:00,t0000974,23340,1
1686,xtx1121 ,1121 108th Street,Dallas,8243,A       ,Express Flooring,50545,837,22,Dallas_upto100,rent    ,per Area,Annual,6.5,6.5,7.5,7.5,-1,-1,6/26/2025 0:00,t0000994,27057,1
1686,xtx1121 ,1121 108th Street,Dallas,8244,B       ,Vacant,15780,838,85,Dal_upto100_2nd,rent    ,per Area,Annual,7.95,7.95,7.5,7.5,0.45,0.45,6/26/2025 0:00,,,1
4819,3nj00008,1125 Hendricks Causeway,Northern NJ/New York,24534,1125,"Biazzo Dairy Products, Inc.",56629,2349,41,NNJ_upto100,rent    ,per Area,Annual,18,18,13.91,13.91,4.09,4.09,6/26/2025 0:00,t0001019,29152,1
4075,xga1145b,1145 Battlecreek Road,Atlanta,16718,1145,"Snap Tire, Inc.",67656,2056,57,Atl_2nd Iteration_upto100,rent    ,per Area,Annual,6.25,6.25,9,6.45,-2.75,-0.2,6/26/2025 0:00,t0000952,19642,1
4818,3nj00007,1145 Edgewater Ave,Northern NJ/New York,24533,1145,"Biazzo Dairy Products, Inc.",56628,2348,41,NNJ_upto100,rent    ,per Area,Annual,18,18,13.91,13.91,4.09,4.09,6/26/2025 0:00,t0001018,29149,1
2727,xohcolu4,1149 – 1161 Rarig Avenue,Columbus,4581,1161,"Loomis Armored US, LCC",28808,866,25,COL Up to 100K SF,rent    ,per Area,Annual,8,8,7,7,1,1,6/26/2025 0:00,t0000673,6322,1
1732,xga1157 ,1157 Battlecreek Road,Atlanta,3167,1157,Vacant,166493,780,62,Atl_2nd Iteration_100plus,rent    ,per Area,Annual,5.58,5.58,5.25,5.25,0.33,0.33,6/26/2025 0:00,,,1
2723,xfl11660,11660 Central Parkway,Jacksonville,4683,11660,U.S. Navy,65806,1384,70,Jax_2nd Iteration_upto100,rent    ,per Area,Annual,11.25,11.25,7,7,4.25,4.25,6/26/2025 0:00,t0000670,6269,1
3625,xtx11839,11839 Shiloh Rd,Dallas,11099,11839,"Economy Tire, Inc.",99750,1895,85,Dal_upto100_2nd,rent    ,per Area,Annual,9.5,9.5,7.5,7.5,2,2,6/26/2025 0:00,t0000818,13521,1
6224,3nj00021,12 Daniel Road,Northern NJ/New York,44901,100,Unifoil Corporation,100000,4558,40,NNJ_100plus,rent    ,per Area,Annual,16.75,16.75,13.91,13.91,2.84,2.84,6/26/2025 0:00,t0001234,51983,1
6224,3nj00021,12 Daniel Road,Northern NJ/New York,44926,ROOF    ,Vacant,0,4559,41,NNJ_upto100,rent    ,per Area,Annual,13.91,13.91,13.91,13.91,0,0,6/26/2025 0:00,,,1
6282,3ny00002,120-200 Adams Blvd,Long Island,44955,AB      ,"Expeditors International of Washington, Inc.",58347,4446,53,Long Island_ Up to 100K SF,rent    ,per Area,Annual,17.41,17.41,14,14,3.41,3.41,6/26/2025 0:00,t0001266,52192,1
6282,3ny00002,120-200 Adams Blvd,Long Island,46129,CDEFG   ,Vacant,101590,4455,88,LI_2nd Iteration_upto100,rent    ,per Area,Annual,14.5,14.5,14,14,0.5,0.5,6/26/2025 0:00,,,1
6282,3ny00002,120-200 Adams Blvd,Long Island,46130,H       ,Vacant,26506,4456,88,LI_2nd Iteration_upto100,rent    ,per Area,Annual,15.5,15.5,14,14,1.5,1.5,6/26/2025 0:00,,,1
6282,3ny00002,120-200 Adams Blvd,Long Island,46134,J       ,Vacant,10499,4457,53,Long Island_ Up to 100K SF,rent    ,per Area,Annual,0,0,14,14,-14,-14,6/26/2025 0:00,,,1
6282,3ny00002,120-200 Adams Blvd,Long Island,44936,PARK    ,Vacant,0,4445,53,Long Island_ Up to 100K SF,rent    ,per Area,Annual,0,0,14,14,-14,-14,6/26/2025 0:00,,,1
6655,3md00007,1200 Bernard Drive,Baltimore,49657,100,"Railway Products Group, Inc.",49728,4647,45,BAL_upto100,rent    ,per Area,Annual,11,11,9,9,2,2,6/26/2025 0:00,t0001342,57663,1
3626,xil1200p,1200 Pratt Boulevard,Chicago,10918,1200,"Andrews Paperboard, Inc.",32000,942,29,CHI_upto100,rent    ,per Area,Annual,8,8,6.5,6.5,1.5,1.5,6/26/2025 0:00,t0000815,13460,1
1383,xohmost ,12080 Mosteller Road,Cincinnati,503,A       ,The Gorilla Glue Company LLC,90244,881,42,CIn_100plus,rent    ,per Area,Annual,5,4.5,5,5,0,-0.5,6/26/2025 0:00,t0000434,1306,1
1383,xohmost ,12080 Mosteller Road,Cincinnati,504,B       ,The Gorilla Glue Company LLC,20843,882,42,CIn_100plus,rent    ,per Area,Annual,5,4.5,5,5,0,-0.5,6/26/2025 0:00,t0000434,1306,1
1383,xohmost ,12080 Mosteller Road,Cincinnati,505,C       ,"A and A Quality Appliance, Inc.",47107,883,63,Cin_2nd Iteration_upto100,rent    ,per Area,Annual,6,6,5,5,1,1,6/26/2025 0:00,t0001147,41989,1
1383,xohmost ,12080 Mosteller Road,Cincinnati,506,D       ,Rite Rug Co.,114027,884,42,CIn_100plus,rent    ,per Area,Annual,4.5,4.5,5,5,-0.5,-0.5,6/26/2025 0:00,t0000688,6639,1
1383,xohmost ,12080 Mosteller Road,Cincinnati,31739,PARK    ,ORAS EXPRESS LLC,0,2995,28,CIN_upto100K,rent    ,per Area,Monthly,3500,3500,5,5,3495,3495,6/26/2025 0:00,t0001072,36913,1
3302,xnj121mo,121 Moonachie Ave,Northern NJ/New York,6284,121,"CONTENT CRITICAL SOLUTIONS, INC",62000,723,41,NNJ_upto100,rent    ,per Area,Annual,16.5,16.5,13.91,13.91,2.59,2.59,6/26/2025 0:00,t0000742,8086,1
3301,xil121lo,121 South Lombard Road,Chicago,6283,121,"Enpro, Inc.",20000,915,29,CHI_upto100,rent    ,per Area,Annual,9,9,6.5,6.5,2.5,2.5,6/26/2025 0:00,t0000731,7962,1
1756,xpa12111,1211 Ford Road,Philadelphia,3508,1211,Vacant,106045,1071,68,Phi_2nd Iteration_100plus,rent    ,per Area,Annual,9.5,9.5,8,8,1.5,1.5,6/26/2025 0:00,,,1
6078,3nc00008,12140 Vance Davis,"Charlotte, NC",39728,100,"IMI Management, INC",66370,3128,43,CAR_upto100,rent    ,per Area,Annual,10.25,10.25,6,6,4.25,4.25,6/26/2025 0:00,t0001407,67756,1
1896,xtx12150,12150 Shiloh Road,Dallas,4427,104,Tex Sun Shade ,11473,815,22,Dallas_upto100,rent    ,per Area,Annual,8.9,8.9,7.5,7.5,1.4,1.4,6/26/2025 0:00,t0000701,6920,1
1896,xtx12150,12150 Shiloh Road,Dallas,4428,112,TAJA LLC dba East Dallas Diesel ,10495,830,22,Dallas_upto100,rent    ,per Area,Annual,9,9,7.5,7.5,1.5,1.5,6/26/2025 0:00,t0000698,6909,1
1896,xtx12150,12150 Shiloh Road,Dallas,4429,120,Man Sports LLC ,20551,831,22,Dallas_upto100,rent    ,per Area,Annual,8.75,8.75,7.5,7.5,1.25,1.25,6/26/2025 0:00,t0000697,6908,1
4130,3il00006,1221 Landmeier,Chicago,17866,1221,"Trimaco, Inc.",119700,2404,46,CHI_100plus,rent    ,per Area,Annual,7,7,6.5,6.5,0.5,0.5,6/26/2025 0:00,t0000963,20892,1
6077,3nc00007,12210 Vance Davis,"Charlotte, NC",39710,A       ,"City of Charlotte	",66649,3127,43,CAR_upto100,rent    ,per Area,Annual,8.67,8.67,6,6,2.67,2.67,6/26/2025 0:00,t0001168,45790,1
6077,3nc00007,12210 Vance Davis,"Charlotte, NC",39709,E       ,"MOVEX USA, Inc.",28858,3126,43,CAR_upto100,rent    ,per Area,Annual,10.97,10.97,6,6,4.97,4.97,6/26/2025 0:00,t0001167,45789,1
1878,xnj125al,125 Algonquin Parkway,Northern NJ/New York,3850,01      ,Hoop Heaven,21000,2337,41,NNJ_upto100,rent    ,per Area,Annual,15.5,15.5,13.91,13.91,1.59,1.59,6/26/2025 0:00,t0000613,5459,1
1878,xnj125al,125 Algonquin Parkway,Northern NJ/New York,3851,02      ,Krowne Metal Coporation,50000,690,76,NNJ_2nd Iteration_upto100,rent    ,per Area,Annual,15.5,15.5,13.91,13.91,1.59,1.59,6/26/2025 0:00,t0001173,45817,1
4077,3nj00004,1253 Glen Avenue,Philadelphia,16721,1253,React Restoration LLC,31994,2423,30,PHI_upto100,rent    ,per Area,Annual,9,9,8,8,1,1,6/26/2025 0:00,t0001355,58498,1
3818,3tx00001,12621-12623 International Pkwy,Dallas,15281,STE-A   ,Vacant,54920,2367,85,Dal_upto100_2nd,rent    ,per Area,Annual,8.75,8.5,7.5,7.5,1.25,1,6/26/2025 0:00,,,1
7369,3il00013,1265 Naperville Drive,Chicago,62000,100,1265 Naperville Drive LLC,72683,5155,29,CHI_upto100,rent    ,per Area,Annual,9.5,9.5,6.5,6.5,3,3,6/26/2025 0:00,t0001442,72478,1
6993,3fl00019,12750-12770 SW 125th Avenue,Miami,51919,1,"South Florida Center for Percussive Arts, Inc.",2300,4842,26,MIA_upto100,rent    ,per Area,Annual,18.16,18.16,12.25,12.25,5.91,5.91,6/26/2025 0:00,t0001360,60277,1
6993,3fl00019,12750-12770 SW 125th Avenue,Miami,51920,100,Trane U.S. Inc.,25655,4843,26,MIA_upto100,rent    ,per Area,Annual,17.2,17.2,12.25,12.25,4.95,4.95,6/26/2025 0:00,t0001361,60278,1
6993,3fl00019,12750-12770 SW 125th Avenue,Miami,51921,3-Feb,"MFR Kendall, LLC",4600,4844,26,MIA_upto100,rent    ,per Area,Annual,18.16,18.16,12.25,12.25,5.91,5.91,6/26/2025 0:00,t0001362,60279,1
1882,xnj128ba,128 Bauer Drive,Northern NJ/New York,3860,01      ,Goldstein & Burton,10341,699,41,NNJ_upto100,rent    ,per Area,Annual,14,14,13.91,13.91,0.09,0.09,6/26/2025 0:00,t0000624,5473,1
1882,xnj128ba,128 Bauer Drive,Northern NJ/New York,3861,02      ,Black Walnut LLC,21142,717,76,NNJ_2nd Iteration_upto100,rent    ,per Area,Annual,14,14,13.91,13.91,0.09,0.09,6/26/2025 0:00,t0001074,36926,1
1882,xnj128ba,128 Bauer Drive,Northern NJ/New York,3862,04      ,Merritt,10699,718,41,NNJ_upto100,rent    ,per Area,Annual,14,14,13.91,13.91,0.09,0.09,6/26/2025 0:00,t0000991,27032,1
6093,3fl00010,12900 NW 38th Ave,Miami,39707,100,"BES Associates, Corp.",25050,3117,26,MIA_upto100,rent    ,per Area,Annual,13.5,13.5,12.25,12.25,1.25,1.25,6/26/2025 0:00,t0001165,45787,1
7811,3oh00009,1299 Boltonfield St,Chicago,63965,100,"Precision, LLC",156000,5412,46,CHI_100plus,rent    ,per Area,Annual,6.5,6.5,6.5,6.5,0,0,6/26/2025 0:00,t0001539,75173,1
7758,3ny00004,130 Baylis Rd,Long Island,62827,1,"Drakkar RE, LLC and Florida Food Products, LLC",40491,5255,53,Long Island_ Up to 100K SF,rent    ,per Area,Annual,16.5,16.5,14,14,2.5,2.5,6/26/2025 0:00,t0001467,73606,1
1670,xga130j ,130 James Aldredge Boulevard,Atlanta,2978,130,Kirnland Food Distribution Inc,38164,769,20,ATL_upto100,rent    ,per Area,Annual,7.11,7.11,6,6,1.11,1.11,6/26/2025 0:00,t0000745,8461,1
6091,3fl00008,13000 NW 38th Ave,Miami,39708,100,Atlas Packaging Inc.,58585,3118,26,MIA_upto100,rent    ,per Area,Annual,13.5,13.5,12.25,12.25,1.25,1.25,6/26/2025 0:00,t0001166,45788,1
6092,3fl00009,13001 NW 38th Ave,Miami,39711,A       ,"Gemcap Investments, LLC",27000,3119,26,MIA_upto100,rent    ,per Area,Annual,14,14,12.25,12.25,1.75,1.75,6/26/2025 0:00,t0001169,45791,1
6092,3fl00009,13001 NW 38th Ave,Miami,39712,B       ,"S and M Transportation, Inc.",31780,3120,26,MIA_upto100,rent    ,per Area,Annual,12.75,12.75,12.25,12.25,0.5,0.5,6/26/2025 0:00,t0001170,45792,1
4175,3tx00008,1301 Ridgeview Drive,Dallas,20989,100,"Compudata Products, Inc.",86683,2377,22,Dallas_upto100,rent    ,per Area,Annual,7.25,7.25,7.5,7.5,-0.25,-0.25,6/26/2025 0:00,t0000976,24010,1
4175,3tx00008,1301 Ridgeview Drive,Dallas,20988,150,"7-Eleven, Inc.",28776,2376,22,Dallas_upto100,rent    ,per Area,Annual,8.3,8.3,7.5,7.5,0.8,0.8,6/26/2025 0:00,t0000975,24009,1
3797,3fl00004,13281 NW 43rd Ave,Miami,14994,100,"Ortega Industries and Manufacturing, Corp.",28341,2354,26,MIA_upto100,rent    ,per Area,Annual,13,13,12.25,12.25,0.75,0.75,6/26/2025 0:00,t0000918,17824,1
1599,xnjmorri,14 Morris,Philadelphia,1538,14,Vacant,40925,1022,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,10,10,8,8,2,2,6/26/2025 0:00,,,1
1898,xnj14rol,14 Roland Avenue,Philadelphia,4032,14,"PolyTech Defense Spares, LLC",24000,1076,30,PHI_upto100,rent    ,per Area,Annual,10,10,8,8,2,2,6/26/2025 0:00,t0000664,5991,1
1785,xnj14th ,14-16 Thomas J Rhodes,Philadelphia,3686,14A     ,Medical Indicators,35894,1073,30,PHI_upto100,rent    ,per Area,Annual,11,11,8,8,3,3,6/26/2025 0:00,t0000605,4917,1
1785,xnj14th ,14-16 Thomas J Rhodes,Philadelphia,3687,14B     ,Mule Extracts LLC,8510,1074,30,PHI_upto100,rent    ,per Area,Annual,11,11,8,8,3,3,6/26/2025 0:00,t0000797,13176,1
6662,3ga00011,1400 Beaver Ruin Rd,Atlanta,49755,100,"SRS Distribution, Inc.",75073,4666,20,ATL_upto100,rent    ,per Area,Annual,10.59,10.59,6,6,4.59,4.59,6/26/2025 0:00,t0001350,57764,1
3548,xil141be,141-145 Bernice,Chicago,9350,141,Vacant,2925,935,77,Chi_2nd Iteration_upto100,rent    ,per Area,Annual,8.5,8.5,6.5,6.5,2,2,6/26/2025 0:00,,,1
3548,xil141be,141-145 Bernice,Chicago,9383,143,"Inventory & Return Solutions, Inc.",2925,936,77,Chi_2nd Iteration_upto100,rent    ,per Area,Annual,8.5,8.5,6.5,6.5,2,2,6/26/2025 0:00,t0000787,11303,1
3548,xil141be,141-145 Bernice,Chicago,9408,145,"Jade Carpentry Contractors, Inc.",5850,937,29,CHI_upto100,rent    ,per Area,Annual,9,9,6.5,6.5,2.5,2.5,6/26/2025 0:00,t0000788,11387,1
7739,3fl00020,1410 SW 29th Avenue,Miami,62619,100,"Morningday Community Solutions, Inc.",10400,5352,26,MIA_upto100,rent    ,per Area,Annual,18,18,12.25,12.25,5.75,5.75,6/26/2025 0:00,t0001459,73324,1
7739,3fl00020,1410 SW 29th Avenue,Miami,62620,300,"United Circuits, Inc. ",3714,5353,26,MIA_upto100,rent    ,per Area,Annual,19,19,12.25,12.25,6.75,6.75,6/26/2025 0:00,t0001460,73340,1
7739,3fl00020,1410 SW 29th Avenue,Miami,62519,400,BAR Group LLC,6808,5351,26,MIA_upto100,rent    ,per Area,Annual,19,19,12.25,12.25,6.75,6.75,6/26/2025 0:00,t0001458,73203,1
4076,3nj00005,1425 Grandview Avenue,Philadelphia,16719,1425,ABCO,47268,2421,30,PHI_upto100,rent    ,per Area,Annual,9.5,14,8,8,1.5,6,6/26/2025 0:00,t0001038,33474,1
1879,xnj145al,145 Algonquin Parkway,Northern NJ/New York,3853,01      ,Computechsale,11701,692,76,NNJ_2nd Iteration_upto100,rent    ,per Area,Annual,14.5,14.5,13.91,13.91,0.59,0.59,6/26/2025 0:00,t0001185,48499,1
1879,xnj145al,145 Algonquin Parkway,Northern NJ/New York,3854,02      ,"Millburn Gymnastics, LLC",11777,698,41,NNJ_upto100,rent    ,per Area,Annual,14.5,14.5,13.91,13.91,0.59,0.59,6/26/2025 0:00,t0000621,5470,1
7805,3fl00021,"14550 58th Street N, Clearwater, FL",Tampa,63924,100,"Carr Biosystems, LLC",40508,5413,32,Tampa up to 100K,rent    ,per Area,Annual,13,13,8.5,8.5,4.5,4.5,6/26/2025 0:00,t0001532,75107,1
4174,3tx00007,1460 N Glenville Drive,Dallas,20990,1460,Vacant,121068,2364,86,Dal_2nd Iteration_100plus,rent    ,per Area,Annual,11,16.3,6.5,6.5,4.5,9.8,6/26/2025 0:00,,,1
3572,3fl00001,14735 NW 25th Court,Miami,9141,14735,"Caricom Freight Consolidators, Inc.",25327,1390,26,MIA_upto100,rent    ,per Area,Annual,12.5,12.5,12.25,12.25,0.25,0.25,6/26/2025 0:00,t0000782,11023,1
6670,3nj00024,15 Gloria Lane,Northern NJ/New York,49756,100,Ken Color Laboratories,8135,4670,41,NNJ_upto100,rent    ,per Area,Annual,16.25,16.25,13.91,13.91,2.34,2.34,6/26/2025 0:00,t0001351,57765,1
6670,3nj00024,15 Gloria Lane,Northern NJ/New York,50377,200,Entrade LLC,9600,4671,41,NNJ_upto100,rent    ,per Area,Annual,16.25,16.25,13.91,13.91,2.34,2.34,6/26/2025 0:00,t0001353,58487,1
6670,3nj00024,15 Gloria Lane,Northern NJ/New York,50378,300,DU Technologies Inc.,9000,4672,41,NNJ_upto100,rent    ,per Area,Annual,16.25,16.25,13.91,13.91,2.34,2.34,6/26/2025 0:00,t0001354,58488,1
7737,3pa00004,150 Rittenhouse Circle,Philadelphia,62814,100,Vacant,50618,5366,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,12,12,8,8,4,4,6/26/2025 0:00,,,1
7737,3pa00004,150 Rittenhouse Circle,Philadelphia,62815,200,Vacant,50618,5367,55,Phi_2nd Iteration_upto100,rent    ,per Area,Annual,12,12,8,8,4,4,6/26/2025 0:00,,,1
3741,3il00002,150-152 Railroad,Chicago,14901,100,Mercury Mechanical Service Corp.,18590,2084,29,CHI_upto100,rent    ,per Area,Annual,7.25,7.25,6.5,6.5,0.75,0.75,6/26/2025 0:00,t0000913,17745,1
3741,3il00002,150-152 Railroad,Chicago,14903,150,"EventLink, LLC",22406,2086,29,CHI_upto100,rent    ,per Area,Annual,7.25,7.25,6.5,6.5,0.75,0.75,6/26/2025 0:00,t0001190,50953,1
5086,3tx00010,1501 Kings Road,Dallas,28004,1501,"Beard Integrated Systems, Inc.",154923,2918,44,Dal_100plus,rent    ,per Area,Annual,6.5,6.5,6.5,6.5,0,0,6/26/2025 0:00,t0001352,58464,1
3649,3nj00002,153 Bauer Drive,Northern NJ/New York,12827,153,"Premio Foods, Inc.",44301,2343,76,NNJ_2nd Iteration_upto100,rent    ,per Area,Annual,14.75,14.75,13.91,13.91,0.84,0.84,6/26/2025 0:00,t0001233,51980,1
3671,xoh154co,154 Commerce Blvd,Cincinnati,12858,154,P.T. International LLC,79918,1897,28,CIN_upto100K,rent    ,per Area,Annual,5.6,5.6,5,5,0.6,0.6,6/26/2025 0:00,t0000857,15781,1
7706,3nj00028,155 Pierce Street,Northern NJ/New York,60774,4-Jan,Sannova Analytical Inc ,21000,5138,76,NNJ_2nd Iteration_upto100,rent    ,per Area,Annual,15.75,15.75,13.91,13.91,1.84,1.84,6/26/2025 0:00,t0001423,70835,1
7706,3nj00028,155 Pierce Street,Northern NJ/New York,61967,6-May,Vacant,9692,5136,41,NNJ_upto100,rent    ,per Area,Annual,15.75,15.75,13.91,13.91,1.84,1.84,6/26/2025 0:00,,,1
7706,3nj00028,155 Pierce Street,Northern NJ/New York,60773,7,"K & A Industries, Inc.",5000,5137,41,NNJ_upto100,rent    ,per Area,Annual,15.75,15.75,13.91,13.91,1.84,1.84,6/26/2025 0:00,t0001422,70834,1
7706,3nj00028,155 Pierce Street,Northern NJ/New York,60775,9-Aug,"Somerset Community Action Program, Inc.",10000,5139,76,NNJ_2nd Iteration_upto100,rent    ,per Area,Annual,15.75,15.75,13.91,13.91,1.84,1.84,6/26/2025 0:00,t0001424,70836,1
1880,xnj156al,156 Algonquin Parkway,Northern NJ/New York,3857,01      ,Vacant,17761,682,76,NNJ_2nd Iteration_upto100,rent    ,per Area,Annual,16,16,13.91,13.91,2.09,2.09,6/26/2025 0:00,,,1
3670,xga1585r,1585 Roadhaven Drive,Atlanta,12854,A       ,Inliner Solutions,48000,1878,20,ATL_upto100,rent    ,per Area,Annual,10,10,6,6,4,4,6/26/2025 0:00,t0000966,22477,1
5729,3nj00017,16 McKee Drive,Northern NJ/New York,33546,16,"Remarkable Food Hospitality, LLC",108103,2937,40,NNJ_100plus,rent    ,per Area,Annual,15.5,15.5,13.91,13.91,1.59,1.59,6/26/2025 0:00,t0001110,39015,1
3367,xil1600b,1600 Birchwood Avenue,Chicago,9247,1600,"Fasteners For Retail, Inc.",64216,933,29,CHI_upto100,rent    ,per Area,Annual,7,7,6.5,6.5,0.5,0.5,6/26/2025 0:00,t0000775,10203,1
1663,xil1600 ,1600 Hunter Rd,Chicago,2969,100,"Insight North America, Inc.",238423,4584,46,CHI_100plus,rent    ,per Area,Annual,7.5,7.5,6.5,6.5,1,1,6/26/2025 0:00,t0000514,4183,1
1659,xil1601 ,1601 Lunt Ave,Chicago,2974,1601A   ,Vacant,27809,900,29,CHI_upto100,rent    ,per Area,Annual,6.5,6.5,6.5,6.5,0,0,6/26/2025 0:00,,,1
1659,xil1601 ,1601 Lunt Ave,Chicago,2975,1601B   ,Vacant,35791,901,29,CHI_upto100,rent    ,per Area,Annual,6.5,6.5,6.5,6.5,0,0,6/26/2025 0:00,,,1
4173,3tx00006,1601 Valley View Lane,Dallas,20991,1601,Central National Gottesman Inc.,191887,2365,44,Dal_100plus,rent    ,per Area,Annual,6.75,6.75,6.5,6.5,0.25,0.25,6/26/2025 0:00,t0000978,24012,1
1904,xnj1601s,1601-1641 Sherman Avenue,Philadelphia,4036,1601-A-C,The Printer Inc. (TPI),24480,1079,30,PHI_upto100,rent    ,per Area,Annual,10.75,10.75,8,8,2.75,2.75,6/26/2025 0:00,t0000661,5926,1
1904,xnj1601s,1601-1641 Sherman Avenue,Philadelphia,48400,1601-C-1,The Printer Inc. (TPI),9012,4775,30,PHI_upto100,rent    ,per Area,Annual,10.75,10.75,8,8,2.75,2.75,6/26/2025 0:00,t0000661,5926,1
1904,xnj1601s,1601-1641 Sherman Avenue,Philadelphia,4035,1601-DE ,Vacant,13869,1078,30,PHI_upto100,rent    ,per Area,Annual,10.75,10.75,8,8,2.75,2.75,6/26/2025 0:00,,,1
1904,xnj1601s,1601-1641 Sherman Avenue,Philadelphia,4034,1641,Hajoca Corporation,9960,1077,30,PHI_upto100,rent    ,per Area,Annual,10.5,10.5,8,8,2.5,2.5,6/26/2025 0:00,t0000660,5923,1
3631,xga1610s,1610 Spectrum Drive,Atlanta,12579,A       ,"Almeco USA, Inc.",27000,811,57,Atl_2nd Iteration_upto100,rent    ,per Area,Annual,10.5,10.5,9,6.45,1.5,4.05,6/26/2025 0:00,t0000851,15316,1
6203,inc001  ,1620-1640 Federal Ave,"Charlotte, NC",44898,1620,"Beverly Knits, Inc.",82513,3490,43,CAR_upto100,rent    ,per Area,Annual,5.25,5.25,6,6,-0.75,-0.75,6/26/2025 0:00,t0001231,51968,1
6203,inc001  ,1620-1640 Federal Ave,"Charlotte, NC",44899,1640,"Beverly Knits, Inc.",84777,3491,43,CAR_upto100,rent    ,per Area,Annual,5.25,5.25,6,6,-0.75,-0.75,6/26/2025 0:00,t0001231,51968,1
3368,xil1630b,1630 Birchwood Avenue,Chicago,9248,1630,"Fasteners For Retail, Inc.",40550,934,29,CHI_upto100,rent    ,per Area,Annual,7,7,6.5,6.5,0.5,0.5,6/26/2025 0:00,t0000774,10202,1
5074,3nj00009,1654 High Hill Road,Northern NJ/New York,25518,1654,"Thomas Scientific, LLC",119093,2417,48,PHI_Over100K,rent    ,per Area,Annual,9.25,9.25,8,8,1.25,1.25,6/26/2025 0:00,t0001025,30328,1
7016,3il00011,1670 Frontenac Road,Chicago,54169,100,"Servex, Inc.",93405,4972,29,CHI_upto100,rent    ,per Area,Annual,6.5,6.5,6.5,6.5,0,0,6/26/2025 0:00,t0001375,62879,1
7018,3il00012,1674 Frontenac Rd,Chicago,54167,100,"Ask Products, Inc.",51277,4970,29,CHI_upto100,rent    ,per Area,Annual,7.75,7.75,6.5,6.5,1.25,1.25,6/26/2025 0:00,t0001373,62877,1
1661,xil1688 ,1688 Glen Ellyn Rd,Chicago,2972,1688,"KKSP Precision Machining, LLC",84804,1704,77,Chi_2nd Iteration_upto100,rent    ,per Area,Annual,9,9,6.5,6.5,2.5,2.5,6/26/2025 0:00,t0000518,4192,1
