Quarter,Fund,Contract Occupancy %,Adjusted Occupancy %,Adjusted Occupancy - Terminated SF,Gross Absorption SF,Move-Outs SF,Net Absorption SF,Largest Move-Outs SF,Largest Move-Ins SF,Economic Occupancy Forecast %,Vacant Suites Count,Vacancy WAD Months,Forecast Lease-Up Months,Vacancy SF,Lease-Up SF,Leasing Spread %,Escalations %,Renewal Rate % (Quarter),Renewal Rate % (LTM),Downtime Months (Current Vacancies),UW Downtime Months
Q1 2025,Fund 2,90.1,88.3,175000.0,198000,712000,-514000,457000,95000,83.6,31,9.0,5.0,2600000,1300000,11.0,3.73,72.0,66.0,8.4,7.8
Q2 2025,Fund 2,89.1,88.1,101000.0,258000,458000,-200000,202000,127000,80.9,32,8.0,5.0,2400000,1200000,42.0,3.93,17.0,68.0,8.0,7.9
Q1 2025,Fund 3,93.4,,,365000,111000,254000,33000,126000,88.04,22,10.0,5.0,1400000,1000000,67.0,3.49,42.0,57.0,,
Q2 2025,Fund 3,93.0,92.9,,112000,250600,-138600,135000,64000,85.6,30,8.0,7.0,1600000,1100000,23.0,5.66,83.0,57.0,,
