amendment_hmy,property_code,tenant_id,amendment_status,amendment_sf,category,priority
115822,gaold035,t0000424,Activated,21080,RENT_EXPECTED,CRITICAL
115728,njrun155,t0000273,Activated,5800,RENT_EXPECTED,CRITICAL
115729,gaboh026,t0000237,Activated,104700,RENT_EXPECTED,CRITICAL
115730,txstr009,t0000238,Activated,58016,RENT_EXPECTED,CRITICAL
115731,gamou028,t0000240,Activated,28000,RENT_EXPECTED,CRITICAL
115732,gavet029,t0000244,Activated,25000,RENT_EXPECTED,CRITICAL
115733,gavet029,t0000245,Activated,26000,RENT_EXPECTED,CRITICAL
115734,gavet029,t0000246,Activated,93000,RENT_EXPECTED,CRITICAL
115735,tx4se001,t0000223,Activated,18600,RENT_EXPECTED,CRITICAL
115736,gahaz013,t0000227,Activated,58500,RENT_EXPECTED,CRITICAL
115737,tx4se001,t0000232,Activated,9336,RENT_EXPECTED,CRITICAL
115738,gamon027,t0000233,Activated,23296,RENT_EXPECTED,CRITICAL
115739,tx4se001,t0000234,Activated,20331,RENT_EXPECTED,CRITICAL
115740,txflo007,t0000236,Activated,80592,RENT_EXPECTED,CRITICAL
115741,tx4se001,t0000215,Activated,13551,RENT_EXPECTED,CRITICAL
115742,tx4se001,t0000217,Activated,10829,RENT_EXPECTED,CRITICAL
115743,tx4se001,t0000219,Activated,10611,RENT_EXPECTED,CRITICAL
115744,gajon020,t0000220,Activated,16950,RENT_EXPECTED,CRITICAL
115745,tx4se001,t0000221,Activated,10066,RENT_EXPECTED,CRITICAL
115746,gajon020,t0000222,Activated,11904,RENT_EXPECTED,CRITICAL
115747,gahig021,t0000179,Activated,5000,RENT_EXPECTED,CRITICAL
115748,gatid023,t0000184,Activated,31571,RENT_EXPECTED,CRITICAL
115749,gasto009,t0000186,Activated,5025,RENT_EXPECTED,CRITICAL
115750,tx4se001,t0000212,Activated,18471,RENT_EXPECTED,CRITICAL
115751,tx4se001,t0000213,Activated,10066,RENT_EXPECTED,CRITICAL
115752,tx4se001,t0000214,Activated,15000,RENT_EXPECTED,CRITICAL
115753,gacn011,t0000162,Activated,18000,RENT_EXPECTED,CRITICAL
115754,gapar018,t0000163,Activated,40000,RENT_EXPECTED,CRITICAL
115755,tx4se001,t0000164,Activated,4536,RENT_EXPECTED,CRITICAL
115756,gable014,t0000166,Activated,10200,RENT_EXPECTED,CRITICAL
115757,gamac024,t0000167,Activated,51232,RENT_EXPECTED,CRITICAL
115758,gasc1002,t0000171,Activated,24090,RENT_EXPECTED,CRITICAL
115759,txvic008,t0000131,Activated,109946,RENT_EXPECTED,CRITICAL
115760,txwin004,t0000133,Activated,59600,RENT_EXPECTED,CRITICAL
115761,tx4se001,t0000138,Activated,12100,RENT_EXPECTED,CRITICAL
115762,tx4se001,t0000141,Activated,9301,RENT_EXPECTED,CRITICAL
115763,gacn010,t0000158,Activated,5700,RENT_EXPECTED,CRITICAL
115764,gacn010,t0000160,Activated,4800,RENT_EXPECTED,CRITICAL
115765,tnwl7005,t0000093,Activated,21000,RENT_EXPECTED,CRITICAL
115766,tnwl7005,t0000094,Activated,7450,RENT_EXPECTED,CRITICAL
115767,tnw13006,t0000096,Activated,36000,RENT_EXPECTED,CRITICAL
115768,njleo19,t0000097,Activated,13309,RENT_EXPECTED,CRITICAL
115769,gacn012,t0000127,Activated,5250,RENT_EXPECTED,CRITICAL
115770,ohkem002,t0000130,Activated,6999,RENT_EXPECTED,CRITICAL
115771,tnamz015,t0000085,Activated,104329,RENT_EXPECTED,CRITICAL
115772,tnwl4003,t0000088,Activated,60214,RENT_EXPECTED,CRITICAL
115773,tnwl5004,t0000089,Activated,35342,RENT_EXPECTED,CRITICAL
115774,tnwl5004,t0000090,Activated,44519,RENT_EXPECTED,CRITICAL
115775,tnwl7005,t0000091,Activated,7270,RENT_EXPECTED,CRITICAL
115641,3tn00013,t0001309,Superseded,45200,HISTORICAL_RENT,HIGH
115642,tnvan101,t0000118,Activated,56447,RENT_EXPECTED,CRITICAL
115643,tnvan101,t0000119,Activated,10800,RENT_EXPECTED,CRITICAL
115644,gasc5006,t0000172,Activated,6250,RENT_EXPECTED,CRITICAL
115645,gasc4005,t0000356,Activated,10000,RENT_EXPECTED,CRITICAL
115646,gasc4005,t0000226,Activated,5000,RENT_EXPECTED,CRITICAL
115647,tndan007,t0000078,Activated,8100,RENT_EXPECTED,CRITICAL
115648,gacn010,t0000161,Activated,5400,RENT_EXPECTED,CRITICAL
115649,gable014,t0000165,Activated,3000,RENT_EXPECTED,CRITICAL
115650,gamon027,t0000235,Activated,23640,RENT_EXPECTED,CRITICAL
115651,gamou028,t0000239,Activated,5999,RENT_EXPECTED,CRITICAL
115652,gamou028,t0000241,Activated,1450,RENT_EXPECTED,CRITICAL
115653,ohwar004,t0000035,Activated,6000,RENT_EXPECTED,CRITICAL
115654,ohwar005,t0000036,Activated,4305,RENT_EXPECTED,CRITICAL
115655,ohwar005,t0000037,Activated,24150,RENT_EXPECTED,CRITICAL
115656,ohwar005,t0000038,Activated,10895,RENT_EXPECTED,CRITICAL
115657,ohwar005,t0000375,Activated,4305,RENT_EXPECTED,CRITICAL
115658,txmil005,t0000769,Activated,14600,RENT_EXPECTED,CRITICAL
115659,gasto038,t0000776,Activated,48941,RENT_EXPECTED,CRITICAL
115660,ohwar004,t0000023,Activated,7268,RENT_EXPECTED,CRITICAL
115661,ohkem002,t0000014,Activated,18127,RENT_EXPECTED,CRITICAL
115662,ohwar004,t0000022,Activated,3560,RENT_EXPECTED,CRITICAL
