unit id,property id,unit name,unit type,excluded unit,floor id,floor code,floor level int,level,elevator,building id,building code,building name,database id
197,908,B,,0,,,0,,,,,,1
198,1271,100,,0,,,0,,,,,,1
199,1271,106-A,,0,,,0,,,,,,1
200,1271,106,,0,,,0,,,,,,1
201,1271,106-B,,0,,,0,,,,,,1
202,1271,115,,0,,,0,,,,,,1
203,1271,120,,0,,,0,,,,,,1
204,1271,STORAGE,,0,,,0,,,,,,1
206,903,1721,,0,,,0,,,,,,1
207,917,852,,0,,,0,,,,,,1
208,917,856,,0,,,0,,,,,,1
209,917,860,,0,,,0,,,,,,1
210,917,900,,0,,,0,,,,,,1
211,917,906,,0,,,0,,,,,,1
212,917,910,,0,,,0,,,,,,1
213,917,912,,0,,,0,,,,,,1
214,917,922,,0,,,0,,,,,,1
215,917,930,,0,,,0,,,,,,1
216,917,930A,,0,,,0,,,,,,1
217,917,930B,,0,,,0,,,,,,1
218,917,908,,0,,,0,,,,,,1
219,1125,11533,,0,,,0,,,,,,1
220,939,1500,Office,0,,,0,,,,,,1
221,939,3100,Office,0,,,0,,,,,,1
223,892,BLDG-X,,0,,,0,,,,,,1
224,894,5101,,0,,,0,,,90,5101,5101 Milwee Street,1
225,894,5151,,0,,,0,,,89,5151,5151 Milwee Street,1
226,1269,14000,,0,,,0,,,,,,1
227,890,11602,,0,,,0,,,96,11602,11602 Canyon Trail Drive,1
228,890,11606,,0,,,0,,,97,11606,11606 Canyon Trail Dr,1
229,890,11614,,0,,,0,,,98,11614,11614 Canyon Trail Drive,1
230,890,6810,,0,,,0,,,99,6810,6810 Bourgeois Road,1
231,890,6812,,0,,,0,,,100,6812,6812 Bourgeois Rd,1
232,890,6814,,0,,,0,,,101,6814,6814 Bourgeois Rd,1
233,890,6816,,0,,,0,,,102,6816,6816 Bourgeois Road,1
273,937,1789-06,Office,0,,,0,,,,,,1
274,937,1779-05,Office,0,,,0,,,,,,1
275,937,1779-02,Office,0,,,0,,,,,,1
276,937,1779-01,Office,0,,,0,,,,,,1
277,937,1789-03,Office,0,,,0,,,,,,1
278,937,1789-345,Office,0,,,0,,,,,,1
279,941,909-1000,Other,0,,,0,,,,,,1
281,941,822,Office,0,,,0,,,,,,1
282,941,819,Office,0,,,0,,,,,,1
283,941,500,Office,0,,,0,,,,,,1
284,941,130,Office,0,,,0,,,,,,1
285,941,610,Office,0,,,0,,,,,,1
286,941,1220,Office,0,,,0,,,,,,1
287,941,1121,Office,0,,,0,,,,,,1
288,941,905,Office,0,,,0,,,,,,1
289,941,900,Office,0,,,0,,,,,,1
290,941,101,Office,0,,,0,,,,,,1
291,941,818,Office,0,,,0,,,,,,1
292,941,1119,Office,0,,,0,,,,,,1
293,941,100,Office,0,,,0,,,,,,1
294,1270,OFFICE_1,,0,,,0,,,,,,1
295,1270,B,,0,,,0,,,,,,1
296,1270,C,,0,,,0,,,,,,1
297,1270,A-OFFICE,,0,,,0,,,,,,1
298,1270,5,,0,,,0,,,,,,1
299,1270,BLDG-B,,0,,,0,,,,,,1
300,1240,3700,,0,,,0,,,,,,1
301,1268,626,,0,,,0,,,,,,1
302,941,801,Office,0,,,0,,,,,,1
303,941,1123,Office,0,,,0,,,,,,1
304,941,1224,Office,0,,,0,,,,,,1
305,941,820,Office,0,,,0,,,,,,1
306,941,1122,Office,0,,,0,,,,,,1
307,941,810,Office,0,,,0,,,,,,1
308,941,1216,Office,0,,,0,,,,,,1
346,941,903,Office,0,,,0,,,,,,1
347,941,915,Office,0,,,0,,,,,,1
348,942,225,Office,0,,,0,,,,,,1
349,942,1032,Office,0,,,0,,,,,,1
350,942,650,Office,0,,,0,,,,,,1
351,942,701,Office,0,,,0,,,,,,1
352,942,220,Office,0,,,0,,,,,,1
353,942,1180,Office,0,,,0,,,,,,1
354,942,1000,Office,0,,,0,,,,,,1
355,942,300,Office,0,,,0,,,,,,1
356,942,950,Office,0,,,0,,,,,,1
357,942,440,Office,0,,,0,,,,,,1
358,942,535,Office,0,,,0,,,,,,1
359,942,407,Office,0,,,0,,,,,,1
360,942,502,Office,0,,,0,,,,,,1
361,942,430,Office,0,,,0,,,,,,1
362,942,910,Office,0,,,0,,,,,,1
363,942,932,Office,0,,,0,,,,,,1
364,942,940,Office,0,,,0,,,,,,1
365,942,350,Office,0,,,0,,,,,,1
366,942,945,Office,0,,,0,,,,,,1
367,942,525,Office,0,,,0,,,,,,1
368,942,1100,Office,0,,,0,,,,,,1
369,942,400,Office,0,,,0,,,,,,1
370,942,170,Office,0,,,0,,,,,,1
371,942,1035,Office,0,,,0,,,,,,1
372,942,1052,Office,0,,,0,,,,,,1
373,942,605,Office,0,,,0,,,,,,1
374,942,215,Office,0,,,0,,,,,,1
375,942,3,Other,0,,,0,,,,,,1
376,942,100,Office,0,,,0,,,,,,1
377,942,900,Office,0,,,0,,,,,,1
378,942,150,Office,0,,,0,,,,,,1
379,942,1150,Office,0,,,0,,,,,,1
380,942,930,Office,0,,,0,,,,,,1
381,942,201,Office,0,,,0,,,,,,1
382,942,603,Office,0,,,0,,,,,,1
383,942,2,Other,0,,,0,,,,,,1
385,942,335,Office,0,,,0,,,,,,1
423,913,320,,0,3,3,0,,Yes,,,,1
426,913,1000,,0,10,10,0,,Yes,,,,1
427,913,1100,,0,11,11,0,,Yes,,,,1
428,913,200,,0,2,2,0,,Yes,,,,1
429,913,110,,0,1,1,0,,Yes,,,,1
430,913,1200,,0,12,12,0,,Yes,,,,1
431,913,1250,,0,12,12,0,,Yes,,,,1
432,913,1290,,0,12,12,0,,Yes,,,,1
433,913,260,,0,2,2,0,,Yes,,,,1
434,913,500,,0,5,5,0,,Yes,,,,1
