record hmy,amendment hmy,tenant hmy,tenant code,property hmy,property code,unit hmy,unit name,dtleasefrom,dtleaseto,hoption,hproposal,binactive,dtinactive,hamendmentinactive,dtmovein,dtmoveout,snotes,dsqft,hmasterunit,bactive,hcondocontract,ipersontype,hcommmoveoutreason,hforeigndb,sextreference,hcopyfrom,ispastprimaryowner,hcommmlaoverride,trowversion,dtclose,dtaxestimate
29182,29097,19632,t0000948,3836,3tx00002,16712,700,44835,45672,,,,,94721,44835,45672,,18095,0,0,,,,,,,,0,AAAAAAHJ+U8=,,
23730,23598,19633,t0000949,3836,3tx00002,16713,C,44796,45199,,,,,40910,44562,45199,,21000,0,0,,,3,,,,,0,AAAAAAC74X8=,,
32882,23602,19638,t0000950,3547,xil201ja,10539,1080,44835,45930,,,,,110769,44835,45930,,5382,0,0,,,,,,,,0,AAAAAAGabo0=,,
110533,110769,19638,t0000950,3547,xil201ja,10539,1080,45931,47026,,,,,,45931,,,5382,0,0,,,,,,,,0,AAAAAAGabq4=,,
34195,23606,19641,t0000951,3628,3fl00002,12588,1,44835,47879,,,,,,44835,,,39972,0,0,,,,,,,,0,AAAAAAEv9Do=,,
23737,23607,19642,t0000952,4075,xga1145b,16718,1145,44797,45535,,,,,74678,44797,45535,,67656,0,0,,,,,,,,0,AAAAAAFA06o=,,
74493,74678,19642,t0000952,4075,xga1145b,16718,1145,45536,46630,,,,,,45536,,,67656,0,0,,,,,,,,0,AAAAAAFA080=,,
23794,23663,19725,t0000953,4078,3oh00002,16724,A,44818,46643,,,,,,44818,,,40212,0,0,,,,,,,,0,AAAAAAB1f9k=,,
23830,23703,19749,t0000955,4116,3ga00004,16814,A,44827,45199,,,,,55510,44827,45199,,27200,0,0,,,,,,,,0,AAAAAAC5ytw=,,
23894,23768,19810,t0000956,4077,3nj00004,16720,D,44593,44926,,,,,,44593,44926,,3750,0,0,,,0,,,,,0,AAAAAABuA1g=,,
24125,23822,19857,t0000957,4077,3nj00004,16721,1253,42795,44926,,,,,27311,42727,44926,,11307,0,0,,,,,,,,0,AAAAAAB8a2Q=,,
32899,32935,19857,t0000957,4077,3nj00004,16721,1253,44927,45016,,,,,34274,44927,45016,,11307,0,0,,,,,,,,0,AAAAAAB29Q8=,,
34286,34336,19857,t0000957,4077,3nj00004,16721,1253,45017,45112,,,,,57546,45017,45112,,11307,0,0,,,,,,,,0,AAAAAADCpXw=,,
34229,34284,19886,t0000958,1655,xnjcentr,2989,7055-2,45017,45199,,,,,45448,45017,45199,,9967,0,0,,,,,,,,0,AAAAAADjaGs=,,
23966,23836,19886,t0000958,1655,xnjcentr,2989,7055-2,44840,45016,,,,,34284,44840,45016,,9967,0,0,,,,,,,,0,AAAAAAB4TO4=,,
70070,70349,19886,t0000958,1655,xnjcentr,2989,7055-2,45505,45535,,,,,74942,45505,45535,,9967,0,0,,,,,,,,0,AAAAAAFIU3I=,,
44915,45448,19886,t0000958,1655,xnjcentr,2989,7055-2,45200,45382,,,,,70114,45200,45382,,9967,0,0,,,,,,,,0,AAAAAADjq4M=,,
69538,70114,19886,t0000958,1655,xnjcentr,2989,7055-2,45383,45443,,,,,70246,45383,45443,,9967,0,0,,,,,,,,0,AAAAAAD5Az4=,,
69921,70280,19886,t0000958,1655,xnjcentr,2989,7055-2,45474,45504,,,,,70349,45474,45504,,9967,0,0,,,,,,,,0,AAAAAAEMl5c=,,
